age,monthly_spend,tenure_months,support_tickets,plan_type,region,auto_pay,last_login_days,churned
55,,36,0,,east,1,,0
55,57.69,57,0,basic,south,1,2,0
34,119.32,5,0,premium,west,1,2,0
39,67.55,13,0,standard,west,1,17,0
59,31.16,5,1,basic,south,1,1,0
31,87.62,37,0,standard,south,1,5,0
64,131.88,65,0,premium,west,1,1,0
24,148.51,52,0,premium,south,0,0,0
33,98.87,35,0,standard,east,1,6,0
57,66.66,84,0,standard,west,0,1,0
62,63.38,30,1,basic,south,1,17,0
53,104.10,49,0,standard,east,1,5,0
39,87.59,75,5,standard,south,0,1,0
48,74.58,10,0,standard,east,1,0,0
52,84.95,57,0,standard,east,1,5,0
58,41.20,50,1,basic,north,1,14,0
23,40.51,5,0,basic,west,1,4,0
43,88.14,54,1,standard,south,0,6,0
20,54.51,83,0,basic,south,1,5,0
58,49.21,33,1,basic,west,1,16,1
58,87.24,58,0,standard,east,1,3,0
43,80.59,32,1,standard,west,1,5,0
38,31.68,53,0,basic,east,0,10,0
67,159.63,2,0,premium,south,1,0,0
62,68.16,25,1,standard,north,0,4,0
71,52.94,33,0,basic,west,1,2,0
60,43.42,76,0,basic,west,1,5,0
41,103.77,46,2,premium,south,1,7,0
52,46.51,15,0,basic,south,1,7,0
35,95.94,33,0,standard,east,1,8,0
64,149.75,62,0,premium,west,1,15,1
60,50.80,47,1,basic,east,1,6,0
30,56.22,46,0,basic,north,0,15,0
30,68.62,70,3,basic,north,1,8,1
42,92.76,36,0,standard,west,1,29,0
63,113.73,56,2,premium,east,0,24,1
50,109.74,83,0,standard,west,1,6,0
55,132.33,32,0,premium,west,1,4,0
64,69.16,3,0,standard,north,1,2,0
25,87.62,50,2,standard,west,0,26,1
72,38.22,47,1,basic,west,1,13,0
63,70.91,33,0,standard,south,0,7,0
53,73.14,33,3,standard,north,1,4,0
66,161.47,67,0,premium,west,1,2,0
34,99.00,49,4,standard,north,0,1,1
35,66.75,3,1,standard,north,0,1,0
55,81.89,77,1,standard,west,0,6,0
25,,10,2,basic,west,1,30,1
66,120.29,34,1,premium,east,1,20,1
55,44.88,5,2,basic,north,0,9,0
71,38.96,70,0,basic,west,0,16,0
68,54.21,26,1,basic,south,1,0,0
68,42.35,48,1,basic,south,1,15,0
31,107.09,54,0,standard,west,0,,0
24,66.33,80,0,basic,north,0,5,0
66,97.79,64,1,standard,west,0,4,0
57,139.45,7,0,premium,west,1,2,0
27,53.08,80,3,basic,east,1,5,0
31,45.87,74,0,basic,south,0,4,0
65,92.43,27,3,standard,east,1,31,1
66,118.34,80,4,premium,north,1,6,0
37,63.63,66,0,basic,east,0,0,0
34,102.51,35,0,standard,south,1,15,0
47,33.84,17,2,basic,south,0,0,1
45,87.77,22,0,standard,south,0,8,1
65,52.26,7,0,basic,south,1,4,0
71,140.30,6,2,premium,east,1,0,0
30,93.44,25,0,standard,east,1,3,0
50,60.93,58,2,basic,south,0,44,1
61,113.87,57,1,standard,east,0,14,0
36,18.00,70,4,basic,east,0,25,1
24,66.71,79,0,,west,1,1,0
57,62.14,64,2,basic,north,1,4,0
56,117.30,61,2,premium,west,1,7,0
28,36.66,74,0,basic,north,0,6,0
39,64.75,27,0,basic,west,0,1,0
39,95.59,69,0,standard,west,0,17,0
33,135.41,81,3,standard,east,1,10,0
37,80.44,29,0,standard,west,1,4,0
48,50.32,47,0,basic,south,0,8,0
66,51.01,25,1,basic,north,1,14,1
46,151.29,11,0,premium,south,0,4,0
41,121.72,65,0,premium,south,1,4,0
42,160.16,19,1,premium,east,0,2,1
49,76.51,21,0,standard,west,0,3,0
36,98.42,24,0,standard,south,0,1,0
57,56.67,74,0,basic,south,0,1,0
63,171.28,34,0,premium,west,0,5,0
20,74.05,58,0,standard,north,1,0,0
59,46.46,27,0,basic,east,0,3,0
66,155.70,5,0,premium,east,0,3,0
65,54.49,4,0,basic,north,0,3,0
70,46.85,25,2,basic,east,0,6,0
40,39.14,23,0,basic,north,1,28,0
25,,38,0,basic,east,0,1,0
35,84.87,63,0,standard,east,1,0,0
22,22.82,32,0,basic,east,1,1,0
31,44.38,42,0,basic,south,0,4,0
72,18.00,71,0,basic,east,0,13,0
27,139.23,59,2,premium,west,1,7,0
32,76.26,7,0,basic,east,1,1,0
45,87.51,78,3,standard,north,1,12,0
33,108.61,33,1,standard,south,1,0,0
56,54.53,35,0,basic,north,0,5,0
42,86.14,47,0,standard,south,1,34,0
55,174.74,74,0,premium,south,0,0,0
72,37.71,70,1,basic,east,1,,0
39,158.24,45,1,premium,east,0,23,0
23,82.13,29,1,standard,west,1,5,1
45,107.59,44,3,standard,north,1,17,0
46,140.36,3,5,premium,west,1,10,1
64,168.02,46,0,premium,east,1,9,0
58,103.36,65,0,standard,south,0,9,0
39,88.45,59,1,standard,north,1,6,0
70,55.34,14,2,basic,west,1,13,1
52,154.87,49,4,premium,west,0,5,0
67,62.06,62,1,basic,north,0,5,0
45,80.14,78,2,standard,south,0,8,0
21,140.02,11,2,premium,north,1,0,0
36,69.72,45,1,standard,east,1,27,1
38,101.94,36,1,standard,north,0,11,0
51,87.68,51,0,standard,west,0,3,0
38,76.58,38,3,standard,east,0,6,0
25,148.63,50,0,premium,south,0,29,1
72,27.89,1,0,basic,north,0,6,0
31,97.65,47,0,standard,south,0,0,0
67,81.98,13,0,standard,east,0,1,0
21,58.26,81,2,basic,east,1,2,0
60,89.86,45,2,standard,east,1,9,0
25,28.39,10,3,basic,west,1,0,0
69,56.44,9,0,basic,east,1,32,1
