tenure_months,monthly_fee,support_tickets,plan_type,churned
1,89.0,5,basic,1
2,86.0,4,basic,1
3,91.0,6,basic,1
4,83.0,4,plus,1
5,88.0,5,basic,1
6,81.0,3,plus,1
7,85.0,4,basic,1
8,79.0,3,plus,1
9,82.0,4,basic,1
10,77.0,2,plus,1
11,80.0,3,basic,1
12,75.0,2,plus,1
13,78.0,3,basic,1
14,72.0,2,plus,1
15,76.0,3,basic,1
16,70.0,2,plus,1
17,74.0,3,basic,1
18,68.0,2,plus,1
19,71.0,2,basic,1
20,66.0,1,plus,1
21,69.0,2,basic,1
22,64.0,1,plus,1
23,67.0,2,basic,1
24,62.0,1,plus,1
25,65.0,2,basic,1
26,60.0,1,plus,1
27,63.0,2,basic,1
28,58.0,1,plus,1
29,61.0,2,basic,1
30,56.0,1,plus,1
31,59.0,1,basic,1
32,54.0,1,plus,1
33,52.0,1,premium,0
34,50.0,1,premium,0
35,49.0,0,plus,0
36,48.0,1,premium,0
37,47.0,0,plus,0
38,46.0,1,premium,0
39,45.0,0,plus,0
40,44.0,1,premium,0
41,43.0,0,plus,0
42,42.0,1,premium,0
43,41.0,0,plus,0
44,40.0,1,premium,0
45,39.0,0,plus,0
46,38.0,1,premium,0
47,37.0,0,plus,0
48,36.0,1,premium,0
49,35.0,0,plus,0
50,34.0,1,premium,0
51,33.0,0,plus,0
52,32.0,1,premium,0
53,31.0,0,plus,0
54,30.0,1,premium,0
55,29.0,0,plus,0
56,28.0,1,premium,0
57,27.0,0,plus,0
58,26.0,1,premium,0
59,25.0,0,plus,0
60,24.0,1,premium,0
61,23.0,0,plus,0
62,22.0,1,premium,0
63,21.0,0,plus,0
64,20.0,1,premium,0
