feature_a,feature_b,feature_c,segment,target
0.1,0.0,0.2,north,1.4
0.2,0.3,0.4,south,1.6
0.3,0.6,0.6,central,1.8
0.4,0.9,0.8,west,2.0
0.5,1.2,1.0,north,1.6
0.6,1.5,0.2,south,1.0
0.7,1.8,0.4,central,1.2
0.8,2.1,0.6,west,1.4
0.9,2.4,0.8,north,1.0
1.0,2.7,1.0,south,1.2
1.1,3.0,0.2,central,0.6
1.2,0.0,0.4,west,4.3
1.3,0.3,0.6,north,3.9
1.4,0.6,0.8,south,4.1
1.5,0.9,1.0,central,4.3
1.6,1.2,0.2,west,3.7
1.7,1.5,0.4,north,3.3
1.8,1.8,0.6,south,3.5
1.9,2.1,0.8,central,3.7
2.0,2.4,1.0,west,3.9
2.1,2.7,0.2,north,3.3
2.2,3.0,0.4,south,3.5
2.3,0.0,0.6,central,6.2
2.4,0.3,0.8,west,6.4
2.5,0.6,1.0,north,6.0
2.6,0.9,0.2,south,5.4
2.7,1.2,0.4,central,5.6
2.8,1.5,0.6,west,5.8
2.9,1.8,0.8,north,5.4
3.0,2.1,1.0,south,5.6
3.1,2.4,0.2,central,5.0
3.2,2.7,0.4,west,5.2
3.3,3.0,0.6,north,4.8
3.4,0.0,0.8,south,8.5
3.5,0.3,1.0,central,8.7
3.6,0.6,0.2,west,8.1
3.7,0.9,0.4,north,7.7
3.8,1.2,0.6,south,7.9
3.9,1.5,0.8,central,8.1
4.0,1.8,1.0,west,8.3
4.1,2.1,0.2,north,7.7
4.2,2.4,0.4,south,7.9
4.3,2.7,0.6,central,8.1
4.4,3.0,0.8,west,7.7
4.5,0.0,1.0,north,11.4
4.6,0.3,0.2,south,10.8
4.7,0.6,0.4,central,11.0
4.8,0.9,0.6,west,11.2
4.9,1.2,0.8,north,10.8
5.0,1.5,1.0,south,11.0
5.1,1.8,0.2,central,10.4
5.2,2.1,0.4,west,10.6
5.3,2.4,0.6,north,10.2
5.4,2.7,0.8,south,10.4
5.5,3.0,1.0,central,10.6
5.6,0.0,0.2,west,14.0
5.7,0.3,0.4,north,13.6
5.8,0.6,0.6,south,13.8
5.9,0.9,0.8,central,14.0
6.0,1.2,1.0,west,14.2
6.1,1.5,0.2,north,13.6
6.2,1.8,0.4,south,13.8
6.3,2.1,0.6,central,14.0
6.4,2.4,0.8,west,13.6
