floor_area_sqm,bedrooms,building_age,distance_to_center_km,transit_score,district,has_elevator,renovation_quality,monthly_rent
139.64,4,12,5.38,,,1,1,7233.10
74.00,3,12,8.55,74.67,riverside,1,4,6080.08
84.65,3,6,10.92,52.24,university,1,1,4175.17
141.43,4,8,16.31,58.30,central,1,4,8477.35
160.56,5,9,13.41,65.20,central,1,3,9105.86
115.03,4,7,8.49,75.49,suburban,1,5,6977.24
123.83,4,27,9.73,85.86,riverside,1,4,7320.50
40.05,1,32,3.66,94.36,riverside,0,3,4440.56
163.70,5,38,14.92,41.11,university,1,3,8115.14
150.35,5,24,23.17,36.48,riverside,0,2,6514.61
91.17,3,9,9.78,82.59,suburban,1,5,6024.15
50.31,1,24,14.48,41.47,suburban,1,4,2970.80
120.52,3,39,2.14,83.84,university,0,5,7370.61
149.86,5,22,5.48,70.30,suburban,0,4,7364.99
33.97,1,7,8.01,77.27,university,1,4,4246.48
130.18,4,11,3.99,75.62,riverside,1,3,8234.16
101.42,3,1,10.94,67.22,university,1,3,5915.56
79.36,2,20,22.61,32.55,suburban,0,4,2961.04
63.01,2,13,15.98,49.91,riverside,1,4,4604.20
149.00,4,9,19.70,27.85,suburban,1,1,5284.32
126.64,4,29,15.72,52.62,university,1,1,5630.43
104.10,3,7,13.01,60.34,suburban,1,2,4632.58
106.05,3,21,13.54,51.96,riverside,1,1,5466.41
146.96,4,5,6.22,76.05,riverside,1,3,8810.98
61.25,2,18,12.71,67.38,riverside,1,3,4623.18
66.59,2,26,2.67,94.71,suburban,0,1,4054.55
109.88,3,11,9.88,73.06,central,1,2,6808.84
126.62,4,19,3.31,81.08,central,1,3,8478.46
50.09,1,5,23.65,40.34,university,1,5,3401.92
166.33,5,34,20.08,37.40,university,0,1,7000.16
153.52,5,13,13.17,64.59,suburban,1,1,6269.98
68.24,2,11,2.58,92.68,suburban,1,2,4723.12
159.12,4,17,17.30,55.78,university,1,2,7751.94
73.09,2,38,13.78,57.03,university,1,5,5344.91
166.79,5,1,22.50,33.09,central,1,3,8490.42
38.63,1,27,9.15,70.32,central,1,4,4578.80
83.98,2,12,20.15,40.57,suburban,1,4,3475.52
50.77,2,38,4.90,85.50,central,0,1,4642.82
54.90,2,18,2.93,90.55,suburban,0,1,3380.24
159.21,5,1,0.47,87.51,riverside,1,2,9033.59
50.53,1,14,14.91,51.83,central,1,5,5157.80
46.17,1,3,6.87,75.59,suburban,1,1,3151.94
98.90,3,8,11.26,64.33,riverside,1,2,5723.73
161.21,4,12,16.86,52.78,riverside,1,2,7834.92
98.90,3,8,10.88,51.76,suburban,1,2,5040.56
136.25,4,0,5.61,84.38,suburban,1,3,7428.08
159.48,4,42,10.84,65.98,riverside,0,3,8221.44
64.36,2,11,14.46,57.08,suburban,1,2,3500.65
116.35,3,8,5.66,81.02,riverside,1,3,7259.77
148.88,5,39,17.28,48.60,riverside,1,4,7918.79
36.02,1,29,3.48,77.65,central,1,4,4959.32
85.52,2,42,10.64,56.86,central,1,5,6411.44
50.20,1,31,7.99,75.23,central,1,1,4188.08
135.65,4,40,14.18,52.83,suburban,0,5,6218.93
120.39,4,41,2.48,99.32,central,0,5,8634.41
152.09,4,2,13.81,59.70,suburban,1,4,7302.07
